# Cumulative Speedup: SeqCond vs Transformer
# Columns: Tokens, SeqCond_ms, Transformer_ms, Speedup
1	0.85	1.12	1.32
2	1.29	2.00	1.55
4	1.80	3.57	1.98
8	2.77	6.81	2.46
16	4.64	14.85	3.20
32	12.16	31.51	2.59
64	19.95	64.22	3.22
128	36.22	124.46	3.44
256	74.61	239.64	3.21
512	144.26	463.16	3.21
1024	266.29	910.89	3.42
2048	505.36	1803.76	3.57
4096	997.58	3643.76	3.65
